distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 optim_v-5 
13663.04 153 246.9212 0.04554081 0.0002265686 232.335 2.348311 
13663.04 154 246.9212 0.04554081 0.0002265686 232.335 2.348309 
13661.41 155 246.9373 0.04471041 0.0002196942 230.6963 2.413131 
13661.41 156 246.9373 0.04471041 0.0002196942 230.6963 2.413131 
13661.41 157 246.9373 0.04471041 0.0002196942 230.6963 2.413131 
13661.46 158 246.9373 0.04471141 0.0002196942 230.6963 2.413131 
13661.36 159 246.9373 0.04470941 0.0002196942 230.6963 2.413131 
13660.13 160 246.9373 0.04471041 0.0002206942 230.6963 2.413131 
13677.27 161 246.9373 0.04471041 0.0002186942 230.6963 2.413131 
13661.41 162 246.9373 0.04471041 0.0002196942 230.6963 2.413131 
13661.41 163 246.9373 0.04471041 0.0002196942 230.6963 2.413131 
13661.41 164 246.9373 0.04471041 0.0002196942 230.6963 2.413132 
13661.41 165 246.9373 0.04471041 0.0002196942 230.6963 2.41313 
205518.5 166 246.8062 0.02 0.001 230.2204 4 
205518.5 167 246.8062 0.02 0.001 230.2204 4 
205518.5 168 246.8062 0.02 0.001 230.2204 4 
205518.2 169 246.8062 0.020001 0.001 230.2204 4 
205518.5 170 246.8062 0.02 0.001 230.2204 4 
205518.5 171 246.8062 0.02 0.001 230.2204 4 
205512.3 172 246.8062 0.02 0.000999 230.2204 4 
205518.5 173 246.8062 0.02 0.001 230.2204 4 
205518.5 174 246.8062 0.02 0.001 230.2204 4 
205518.5 175 246.8062 0.02 0.001 230.2204 4 
205518.5 176 246.8062 0.02 0.001 230.2204 3.999999 
13961.61 177 246.9363 0.04452512 0.0002255454 230.6928 2.42503 
13961.61 178 246.9363 0.04452512 0.0002255454 230.6928 2.42503 
13961.61 179 246.9363 0.04452512 0.0002255454 230.6928 2.42503 
13961.07 180 246.9363 0.04452612 0.0002255454 230.6928 2.42503 
13962.16 181 246.9363 0.04452412 0.0002255454 230.6928 2.42503 
14056.12 182 246.9363 0.04452512 0.0002265454 230.6928 2.42503 
13879.2 183 246.9363 0.04452512 0.0002245454 230.6928 2.42503 
13961.61 184 246.9363 0.04452512 0.0002255454 230.6928 2.42503 
13961.61 185 246.9363 0.04452512 0.0002255454 230.6928 2.42503 
13961.62 186 246.9363 0.04452512 0.0002255454 230.6928 2.425031 
13961.61 187 246.9363 0.04452512 0.0002255454 230.6928 2.425029 
13658.85 188 246.9372 0.04469508 0.0002201785 230.696 2.414116 
13658.85 189 246.9372 0.04469508 0.0002201785 230.696 2.414116 
13658.85 190 246.9372 0.04469508 0.0002201785 230.696 2.414116 
13658.85 191 246.9372 0.04469608 0.0002201785 230.696 2.414116 
13658.85 192 246.9372 0.04469408 0.0002201785 230.696 2.414116 
13666.12 193 246.9372 0.04469508 0.0002211785 230.696 2.414116 
13665.93 194 246.9372 0.04469508 0.0002191785 230.696 2.414116 
13658.85 195 246.9372 0.04469508 0.0002201785 230.696 2.414116 
13658.85 196 246.9372 0.04469508 0.0002201785 230.696 2.414116 
13658.85 197 246.9372 0.04469508 0.0002201785 230.696 2.414117 
13658.85 198 246.9372 0.04469508 0.0002201785 230.696 2.414115 
13658.85 199 246.9372 0.04469487 0.0002201777 230.696 2.41413 
13658.85 200 246.9372 0.04469487 0.0002201777 230.696 2.41413 
13658.85 201 246.9372 0.04469487 0.0002201777 230.696 2.41413 
13658.85 202 246.9372 0.04469587 0.0002201777 230.696 2.41413 
13658.84 203 246.9372 0.04469387 0.0002201777 230.696 2.41413 
13666.13 204 246.9372 0.04469487 0.0002211777 230.696 2.41413 
13665.92 205 246.9372 0.04469487 0.0002191777 230.696 2.41413 
13658.85 206 246.9372 0.04469487 0.0002201777 230.696 2.41413 
13658.85 207 246.9372 0.04469487 0.0002201777 230.696 2.41413 
13658.85 208 246.9372 0.04469487 0.0002201777 230.696 2.414131 
13658.85 209 246.9372 0.04469487 0.0002201777 230.696 2.414129 
13658.84 210 246.9372 0.04469402 0.0002201744 230.696 2.414184 
13658.84 211 246.9372 0.04469402 0.0002201744 230.696 2.414184 
13658.84 212 246.9372 0.04469402 0.0002201744 230.696 2.414184 
13658.85 213 246.9372 0.04469502 0.0002201744 230.696 2.414184 
13658.84 214 246.9372 0.04469302 0.0002201744 230.696 2.414184 
13666.17 215 246.9372 0.04469402 0.0002211744 230.696 2.414184 
13665.87 216 246.9372 0.04469402 0.0002191744 230.696 2.414184 
13658.84 217 246.9372 0.04469402 0.0002201744 230.696 2.414184 
13658.84 218 246.9372 0.04469402 0.0002201744 230.696 2.414184 
13658.84 219 246.9372 0.04469402 0.0002201744 230.696 2.414185 
13658.84 220 246.9372 0.04469402 0.0002201744 230.696 2.414183 
13658.83 221 246.9372 0.04469066 0.0002201614 230.696 2.4144 
13658.83 222 246.9372 0.04469066 0.0002201614 230.696 2.4144 
13658.83 223 246.9372 0.04469066 0.0002201614 230.696 2.4144 
13658.83 224 246.9372 0.04469166 0.0002201614 230.696 2.4144 
13658.83 225 246.9372 0.04468966 0.0002201614 230.696 2.4144 
